rank,title,year,venue,doi,url,cited_by_count,relevance_score,source_queries,concepts,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt,serious_skim_rank,deep_read_rank,hostile_prior_rank
525,Unknown object modeling on the basis of vision and pushing manipulation,2011,2011 IEEE International Conference on Robotics and Biomimetics,10.1109/robio.2011.6181575,https://doi.org/10.1109/robio.2011.6181575,6,47.69,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
526,Cooperative manipulation of a floating object by some space robots: application of a tracking control method using the transpose of the generalized Jacobian matrix,2008,Artificial Life and Robotics,10.1007/s10015-007-0455-7,https://doi.org/10.1007/s10015-007-0455-7,6,47.69,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception; robot learning control policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
527,How the Environment Shapes Tactile Sensing: Understanding the Relationship Between Tactile Filters and Surrounding Environment,2022,Frontiers in Robotics and AI,10.3389/frobt.2022.930405,https://doi.org/10.3389/frobt.2022.930405,5,47.556,robot tactile object recognition,,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; deformable/contact dynamics model,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.",end-effector morphology; contact sensor layout/calibration; label ontology; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; unmodeled probing choices hide discriminative variables; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes tactile object recognition less novel; leaves morphology-conditioned identity partitions mostly open.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,"The mechanical properties of a sensor strongly affect its tactile sensing capabilities. By exploiting tactile filters, mechanical structures between the sensing unit and the environment, it is possible to tune the interaction dynamics with the surrounding environment. But how can we design a good tactile filter? Previously, the role of filters' geometry and stiffness on the quality of the tactile data has been the subject of several studies, both implementing static filters and adaptable filters. State-of-the-art w",,,
528,Analogy between Juggling and Hopping: Active Object Manipulation Approach,2011,Advanced Robotics,10.1163/016918611x584695,https://doi.org/10.1163/016918611x584695,5,47.556,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
529,Estimation of spatio-temporal object properties for manipulation tasks from observation of humans,2010,2010 IEEE International Conference on Robotics and Automation,10.1109/robot.2010.5509885,https://doi.org/10.1109/robot.2010.5509885,5,47.556,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; deformable/contact dynamics model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
530,"Reactive, task-specific object manipulation by metric reinforcement learning",2015,2015 International Conference on Advanced Robotics (ICAR),10.1109/icar.2015.7251511,https://doi.org/10.1109/icar.2015.7251511,5,47.556,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; robot learning control policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
531,Huge-Object Manipulation in Space by Vehicle-Type Robots,1995,"JSME international journal. Ser. C, Dynamics, control, robotics, design and manufacturing",10.1299/jsmec1993.38.543,https://doi.org/10.1299/jsmec1993.38.543,5,47.556,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
532,Visual servoing for object manipulation: A case study in slaughterhouse,2016,"2016 14th International Conference on Control, Automation, Robotics and Vision (ICARCV)",10.1109/icarcv.2016.7838841,https://doi.org/10.1109/icarcv.2016.7838841,5,47.556,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
533,Object Manipulation Using Unlimited Rolling Contacts: 2-D Kinematic Modeling and Motion Planning,2015,IEEE Transactions on Robotics,10.1109/tro.2015.2411351,https://doi.org/10.1109/tro.2015.2411351,5,47.556,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
534,Compensation for Object Motion in Remote Manipulation,1993,Journal of Robotics and Mechatronics,10.20965/jrm.1993.p0066,https://doi.org/10.20965/jrm.1993.p0066,0,47.5,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; robot learning control policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,"The goal of this project is the proposal of the concept of master/slave control with compensation for object motion in order to facilitate the manipulation of a moving object and the evaluation of the compensation by experimentally comparing the performance of the operator. An experimental system was constructed consisting of a master/slave manipulator, a moving table for the moving object, and a computer which controls both the manipulator and table. A computer control scheme for master/ slave and compensation for",,,
535,3D piecewise planar object model for robotics manipulation,2011,2011 IEEE International Conference on Robotics and Automation,10.1109/icra.2011.5979935,https://doi.org/10.1109/icra.2011.5979935,4,47.398,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
536,Object Detection Method for Grasping Robot Based on Improved YOLOv5,2021,Micromachines,10.3390/mi12111273,https://doi.org/10.3390/mi12111273,87,47.389,robot grasping object recognition,,Predict or execute stable grasps and manipulation actions from object observations.,grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.",probing action family; available contact observables; label ontology; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; unmodeled probing choices hide discriminative variables; success/failure semantics differ across suction, pinch, and enveloping grasps",Makes grasp-conditioned measurements and success prediction less novel; usually treats object labels as fixed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,"In the industrial field, the anthropomorphism of grasping robots is the trend of future development, however, the basic vision technology adopted by the grasping robot at this stage has problems such as inaccurate positioning and low recognition efficiency. Based on this practical problem, in order to achieve more accurate positioning and recognition of objects, an object detection method for grasping robot based on improved YOLOv5 was proposed in this paper. Firstly, the robot object detection platform was designe",,,
537,Tactile-Based Task Definition Through Edge Contact Formation Setpoints for Object Exploration and Manipulation,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3154478,https://doi.org/10.1109/lra.2022.3154478,7,47.306,robot tactile object recognition,,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",active perception policy; tactile/visuotactile representation,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",end-effector morphology; probing action family; contact sensor layout/calibration; label ontology; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; unmodeled probing choices hide discriminative variables; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,,,,
538,Building object models through interactive perception and foveated vision,2015,Advanced Robotics,10.1080/01691864.2015.1028999,https://doi.org/10.1080/01691864.2015.1028999,3,47.204,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
539,Swarm-based object manipulation using redundant manipulator analogs,2008,2008 IEEE International Conference on Robotics and Automation,10.1109/robot.2008.4543413,https://doi.org/10.1109/robot.2008.4543413,3,47.204,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
540,Object Learning through Interactive Manipulation and Foveated Vision,2013,2013 13th IEEE-RAS International Conference on Humanoid Robots (Humanoids),10.1109/humanoids.2013.7029981,https://doi.org/10.1109/humanoids.2013.7029981,3,47.204,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
541,Active perception for object manipulation,2016,2016 IEEE 12th International Conference on Intelligent Computer Communication and Processing (ICCP),10.1109/iccp.2016.7737158,https://doi.org/10.1109/iccp.2016.7737158,3,47.204,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
542,Trajectory optimization of two-link rigid flexible manipulators in Dynamic Object Manipulation missions,2015,2015 3rd RSI International Conference on Robotics and Mechatronics (ICROM),10.1109/icrom.2015.7367833,https://doi.org/10.1109/icrom.2015.7367833,3,47.204,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
543,Multi-sensory based novel household object categorization system by using interactive behaviours,2016,2016 IEEE International Conference on Robotics and Biomimetics (ROBIO),10.1109/robio.2016.7866570,https://doi.org/10.1109/robio.2016.7866570,3,47.204,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
544,OA-Pose: Occlusion-aware monocular 6-DoF object pose estimation under geometry alignment for robot manipulation,2024,Pattern Recognition,10.1016/j.patcog.2024.110576,https://doi.org/10.1016/j.patcog.2024.110576,21,47.185,robot tactile object recognition,,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; pose/category-level perception,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.",end-effector morphology; probing action family; contact sensor layout/calibration; label ontology; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; unmodeled probing choices hide discriminative variables; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes tactile object recognition less novel; leaves morphology-conditioned identity partitions mostly open.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,,,,
545,A retrieval-augmented framework enabling VLM spatial awareness for object-centric robot manipulation,2026,Science Robotics,10.1126/scirobotics.aea2092,https://doi.org/10.1126/scirobotics.aea2092,0,47.0,robot manipulation object identity,,"Learn object-structured state for prediction, planning, or policy learning.",object-centric latent world model; pose/category-level perception,A single latent object embedding can serve all manipulation actions. | The object model need not represent unobservable equivalence classes. | A learned representation that is invariant across embodiments is always beneficial.,end-effector morphology; probing action family; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; unmodeled probing choices hide discriminative variables; success/failure semantics differ across suction, pinch, and enveloping grasps",Makes object latent representations less novel; tests whether invariant object IDs are the wrong abstraction.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,"Connecting the semantic reasoning of vision-language models (VLMs) to the precise geometric demands of robotic manipulation remains a fundamental challenge. Although VLMs can interpret high-level commands, they lack the intrinsic spatial intelligence required for tasks demanding precise object placement, orientation, and physical reasoning. Here, we introduce Retrieval-Augmented Manipulation (RAM), an object-centric framework that endows general-purpose vision foundation models with the spatial reasoning necessary ",,,
546,Development and Evaluation of a Computer Vision System for Robot Navigation and Object Recognition in Real-World Environments,2024,Journal of Computing and Natural Science,10.53759/181x/jcns202404007,https://doi.org/10.53759/181x/jcns202404007,2,46.954,robot tactile object recognition,,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; pose/category-level perception; robot learning control policy,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.",end-effector morphology; contact sensor layout/calibration; label ontology; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; unmodeled probing choices hide discriminative variables; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes tactile object recognition less novel; leaves morphology-conditioned identity partitions mostly open.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,"The article discusses the vision framework for computing that includes image recognition, classification, prioritization, and navigation control modules. In this framework, a user model is used to feed the robotic controllers, whose performance improves in dynamic virtual contexts. In contrast, the vision module uses a multi-level perceptual neural network capable of efficient image segmentation, object recognition, and color segmentation, using the control module Position-Based Vision Serving (PBVS) and actions su",,,
547,Program manipulation via interactive transformations,2003,"Companion of the 18th annual ACM SIGPLAN conference on Object-oriented programming, systems, languages, and applications",10.1145/949344.949380,https://doi.org/10.1145/949344.949380,2,46.954,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
548,Learning motion primitives of object manipulation using Mimesis Model,2013,2013 IEEE International Conference on Robotics and Biomimetics (ROBIO),10.1109/robio.2013.6739618,https://doi.org/10.1109/robio.2013.6739618,2,46.954,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
549,Object manipulation in 3d space by two cone-shaped finger robots based on finger-thumb opposability without object sensing,2012,2012 IEEE International Conference on Robotics and Automation,10.1109/icra.2012.6225198,https://doi.org/10.1109/icra.2012.6225198,2,46.954,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
550,Active perception model extracting object features from unlabeled data,2017,2017 18th International Conference on Advanced Robotics (ICAR),10.1109/icar.2017.8023659,https://doi.org/10.1109/icar.2017.8023659,2,46.954,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
551,A riemannian-geometry approach for dynamics and control of object manipulation under constraints,2009,2009 IEEE International Conference on Robotics and Automation,10.1109/robot.2009.5152414,https://doi.org/10.1109/robot.2009.5152414,2,46.954,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; robot learning control policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
552,FORCE SENSING AND CONTROL DURING MOVEMENT AND OBJECT MANIPULATION IN <i>MERO</i> WALKING ROBOTS,2013,Nature-Inspired Mobile Robotics,10.1142/9789814525534_0082,https://doi.org/10.1142/9789814525534_0082,2,46.954,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; robot learning control policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
553,Grounding object perception in a naive agent's sensorimotor experience,2015,2015 Joint IEEE International Conference on Development and Learning and Epigenetic Robotics (ICDL-EpiRob),10.1109/devlrn.2015.7346156,https://doi.org/10.1109/devlrn.2015.7346156,2,46.954,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
554,A full-body motion calibration and retargeting for intuitive object manipulation in immersive virtual environments,2016,2016 IEEE 9th Workshop on Software Engineering and Architectures for Realtime Interactive Systems (SEARIS),10.1109/searis.2016.7551585,https://doi.org/10.1109/searis.2016.7551585,2,46.954,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
555,Interactive priming enhanced by negative damping aids learning of an object manipulation task,2007,2007 29th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,10.1109/iembs.2007.4353213,https://doi.org/10.1109/iembs.2007.4353213,2,46.954,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,,,
